officer_name,officer_title,transaction_code,transaction_type,transaction_date,shares,price_per_share,security_title
HUANG JEN HSUN,President and CEO,S,SELL,2025-07-07,28029,158.6077,Common Stock
SEAWELL A BROOKE,,S,SELL,2025-07-02,4180,153.8818,Common Stock
SEAWELL A BROOKE,,S,SELL,2025-07-02,16042,154.6144,Common Stock
SEAWELL A BROOKE,,S,SELL,2025-07-02,9379,155.6175,Common Stock
SEAWELL A BROOKE,,S,SELL,2025-07-02,19128,156.5667,Common Stock
SEAWELL A BROOKE,,S,SELL,2025-07-02,2682,157.3542,Common Stock
SEAWELL A BROOKE,,S,SELL,2025-07-07,25738,158.0646,Common Stock
SEAWELL A BROOKE,,S,SELL,2025-07-07,24776,158.686,Common Stock
SEAWELL A BROOKE,,S,SELL,2025-06-30,20463,156.7071,Common Stock
SEAWELL A BROOKE,,S,SELL,2025-06-30,26519,157.3152,Common Stock
SEAWELL A BROOKE,,S,SELL,2025-06-30,3930,158.1053,Common Stock
SEAWELL A BROOKE,,S,SELL,2025-07-01,6194,152.1636,Common Stock
SEAWELL A BROOKE,,S,SELL,2025-07-01,14391,153.0724,Common Stock
SEAWELL A BROOKE,,S,SELL,2025-07-01,3590,153.9755,Common Stock
SEAWELL A BROOKE,,S,SELL,2025-07-01,3224,155.0303,Common Stock
SEAWELL A BROOKE,,S,SELL,2025-07-01,22318,156.1398,Common Stock
SEAWELL A BROOKE,,S,SELL,2025-07-01,2023,156.8321,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-06-27,17774,156.0159,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-06-27,27574,156.8974,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-06-27,26947,157.6498,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-06-27,2705,158.4551,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-06-30,19624,156.8135,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-06-30,49070,157.7268,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-06-30,6306,158.2701,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-07-01,4497,152.2292,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-07-01,14104,153.0139,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-07-01,21050,153.7314,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-07-01,18612,154.6027,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-07-01,12561,156.0585,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-07-01,4176,156.6425,Common Stock
